50 	 B 	note:  1/16 	onset :  161.135
50 	 S+B+CH 	note:  1/16 	onset :  161.332
50 	 CH 	note:  1/8 	onset :  161.727
50 	 B+CH 	note:  1/8 	onset :  162.145
50 	 B+CH 	note:  1/8 	onset :  162.540
51 	 S+CH 	note:  1/8 	onset :  162.969
51 	 CH 	note:  1/8 	onset :  163.352
51 	 B+CH 	note:  1/8 	onset :  163.782
51 	 S 	note:  1/16 	onset :  163.991
51 	 B+CH 	note:  1/16 	onset :  164.188
51 	 B 	note:  1/16 	onset :  164.362
51 	 S+B+CH 	note:  1/16 	onset :  164.571
51 	 CH 	note:  1/8 	onset :  164.966
51 	 B+C 	note:  1/8 	onset :  165.407
51 	 B+CH 	note:  1/8 	onset :  165.814
52 	 S+CH 	note:  1/8 	onset :  166.220
52 	 CH 	note:  1/8 	onset :  166.626
52 	 B+CH 	note:  1/8 	onset :  166.998
52 	 S+R 	note:  1/16 	onset :  167.230
52 	 B+CH 	note:  1/16 	onset :  167.427
52 	 B 	note:  1/16 	onset :  167.625
52 	 S+B+CH 	note:  1/16 	onset :  167.822
52 	 CH 	note:  1/8 	onset :  168.217
52 	 B+CH 	note:  1/8 	onset :  168.635
52 	 B+CH 	note:  1/8 	onset :  169.053
53 	 S+CH 	note:  1/8 	onset :  169.459
53 	 CH 	note:  1/8 	onset :  169.866
53 	 B+CH 	note:  1/8 	onset :  170.272
53 	 S 	note:  1/16 	onset :  170.446
53 	 B+CH 	note:  1/16 	onset :  170.678
53 	 B 	note:  1/16 	onset :  170.852
53 	 S 	note:  1/16 	onset :  171.061
53 	 MT 	note:  1/16 	onset :  171.282
53 	 B 	note:  1/16 	onset :  171.491
53 	 B+C 	note:  1/8 	onset :  171.874
53 	 B+CH 	note:  1/8 	onset :  172.304
54 	 S+CH 	note:  1/8 	onset :  172.687
54 	 CH 	note:  1/8 	onset :  173.093
54 	 B+CH 	note:  1/8 	onset :  173.511
54 	 S+R 	note:  1/16 	onset :  173.720
54 	 B+CH 	note:  1/16 	onset :  173.917
54 	 B 	note:  1/16 	onset :  174.092
54 	 S+CH 	note:  1/16 	onset :  174.301
54 	 CH 	note:  1/8 	onset :  174.695
54 	 B+CH 	note:  1/8 	onset :  175.137
54 	 B+CH 	note:  1/8 	onset :  175.543
55 	 S+CH 	note:  1/8 	onset :  175.949
55 	 CH 	note:  1/8 	onset :  176.321
55 	 B+CH 	note:  1/8 	onset :  176.739
55 	 S+R 	note:  1/16 	onset :  176.959
55 	 B+CH 	note:  1/16 	onset :  177.133
55 	 B 	note:  1/16 	onset :  177.342
55 	 S+B+CH 	note:  1/16 	onset :  177.551
55 	 CH 	note:  1/8 	onset :  177.946
55 	 B+C 	note:  1/8 	onset :  178.341
55 	 B+CH 	note:  1/8 	onset :  178.782
56 	 S+CH 	note:  1/8 	onset :  179.188
56 	 CH 	note:  1/8 	onset :  179.595
56 	 B+CH 	note:  1/8 	onset :  180.001
56 	 S 	note:  1/16 	onset :  180.175
56 	 B+CH 	note:  1/16 	onset :  180.407
56 	 B 	note:  1/16 	onset :  180.593
56 	 S+B+CH 	note:  1/16 	onset :  180.791
56 	 CH 	note:  1/8 	onset :  181.185
56 	 B+CH 	note:  1/8 	onset :  181.603
56 	 B+CH 	note:  1/8 	onset :  181.998
57 	 S+CH 	note:  1/8 	onset :  182.404
57 	 CH 	note:  1/8 	onset :  182.811
57 	 B+CH 	note:  1/8 	onset :  183.229
57 	 S 	note:  1/8 	onset :  183.647
57 	 S 	note:  1/24 	onset :  183.798
57 	 S 	note:  1/16 	onset :  184.018
57 	 MT 	note:  1/16 	onset :  184.227
57 	 B 	note:  1/16 	onset :  184.459
57 	 B+C 	note:  1/8 	onset :  184.854
57 	 B+CH 	note:  1/8 	onset :  185.272
58 	 S+CH 	note:  1/8 	onset :  185.678
58 	 CH 	note:  1/8 	onset :  186.085
58 	 B+CH 	note:  1/8 	onset :  186.491
58 	 S 	note:  1/16 	onset :  186.688
58 	 B+CH 	note:  1/24 	onset :  186.839
58 	 B 	note:  1/16 	onset :  187.083
58 	 S+B+CH 	note:  1/16 	onset :  187.281
58 	 CH 	note:  1/8 	onset :  187.675
58 	 B+CH 	note:  1/8 	onset :  188.093
58 	 B+CH 	note:  1/8 	onset :  188.511
59 	 S+CH 	note:  1/8 	onset :  188.918
59 	 CH 	note:  1/8 	onset :  189.301
59 	 B+CH 	note:  1/8 	onset :  189.730
59 	 S 	note:  1/16 	onset :  189.939
59 	 B+CH 	note:  1/16 	onset :  190.137
59 	 B 	note:  1/16 	onset :  190.346
59 	 S+B+CH 	note:  1/16 	onset :  190.520
59 	 CH 	note:  1/8 	onset :  190.914
59 	 B+C 	note:  1/8 	onset :  191.356
59 	 B+CH 	note:  1/8 	onset :  191.762
60 	 S+CH 	note:  1/8 	onset :  192.157
60 	 CH 	note:  1/8 	onset :  192.551
60 	 B+CH 	note:  1/8 	onset :  192.946
60 	 S 	note:  1/16 	onset :  193.178
60 	 B+CH 	note:  1/16 	onset :  193.376
60 	 B 	note:  1/16 	onset :  193.573
60 	 S+CH 	note:  1/16 	onset :  193.782
60 	 CH 	note:  1/8 	onset :  194.165
60 	 B+CH 	note:  1/8 	onset :  194.595
60 	 B+CH 	note:  1/8 	onset :  195.001
61 	 S+CH 	note:  1/8 	onset :  195.408
61 	 CH 	note:  1/8 	onset :  195.814
61 	 B+CH 	note:  1/8 	onset :  196.197
61 	 MT 	note:  1/8 	onset :  196.592
61 	 B+FT 	note:  1/8 	onset :  196.998
61 	 B+FT 	note:  1/8 	onset :  197.404
61 	 B+C 	note:  1/8 	onset :  197.811
61 	 B+CH 	note:  1/8 	onset :  198.240
62 	 S+CH 	note:  1/8 	onset :  198.647
62 	 CH 	note:  1/8 	onset :  199.053
62 	 B+CH 	note:  1/8 	onset :  199.459
62 	 S 	note:  1/16 	onset :  199.668
62 	 B+CH 	note:  1/16 	onset :  199.866
62 	 B 	note:  1/16 	onset :  200.052
62 	 S+B+CH 	note:  1/16 	onset :  200.249
62 	 CH 	note:  1/8 	onset :  200.644
62 	 B+CH 	note:  1/8 	onset :  201.085
62 	 B+CH 	note:  1/8 	onset :  201.456
63 	 S+CH 	note:  1/8 	onset :  201.863
63 	 CH 	note:  1/8 	onset :  202.269
63 	 B+CH 	note:  1/8 	onset :  202.687
63 	 S 	note:  1/16 	onset :  202.908
63 	 B+CH 	note:  1/16 	onset :  203.082
63 	 B 	note:  1/16 	onset :  203.291
63 	 S+B+CH 	note:  1/16 	onset :  203.500
63 	 CH 	note:  1/8 	onset :  203.894
63 	 B+C 	note:  1/8 	onset :  204.324
63 	 B+CH 	note:  1/8 	onset :  204.730
64 	 S+CH 	note:  1/8 	onset :  205.137
64 	 CH 	note:  1/8 	onset :  205.543
64 	 B+CH 	note:  1/8 	onset :  205.949
64 	 S 	note:  1/16 	onset :  206.147
64 	 B+CH 	note:  1/24 	onset :  206.298
64 	 B 	note:  1/16 	onset :  206.541
64 	 S+B+CH 	note:  1/16 	onset :  206.739
64 	 CH 	note:  1/8 	onset :  207.134
64 	 B+C 	note:  1/8 	onset :  207.552
64 	 B+CH 	note:  1/8 	onset :  207.970
65 	 S+CH 	note:  1/8 	onset :  208.376
65 	 CH 	note:  1/8 	onset :  208.782
65 	 B+CH 	note:  1/8 	onset :  209.189
65 	 S 	note:  1/8 	onset :  209.595
65 	 S 	note:  1/16 	onset :  209.769
65 	 S 	note:  1/16 	onset :  209.943
65 	 MT 	note:  1/16 	onset :  210.187
65 	 B 	note:  1/16 	onset :  210.408
65 	 B+C 	note:  1/8 	onset :  210.791
65 	 S+R 	note:  1/8 	onset :  211.220
66 	 B+C 	note:  1/16 	onset :  211.406
66 	 B+C 	note:  3/16 	onset :  212.033
66 	 B+C 	note:  1/8 	onset :  212.428
66 	 S 	note:  1/8 	onset :  212.846
66 	 B+C 	note:  1/16 	onset :  213.043
66 	 B+C 	note:  3/16 	onset :  213.635
66 	 B+C 	note:  1/8 	onset :  214.053
